City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
202,Derzhavinsk,KZ,51.1,66.3167,4.03,79,8,6.11,clear sky
203,Safaga,EG,26.7292,33.9365,73.56,36,28,10.36,scattered clouds
204,Sur,OM,22.5667,59.5289,78.67,42,13,1.07,few clouds
205,Sambava,MG,-14.2667,50.1667,76.98,83,14,4.61,few clouds
206,Atambua,ID,-9.1061,124.8925,85.41,61,99,3.85,overcast clouds
207,Lebu,CL,-37.6167,-73.65,51.53,75,0,16.96,clear sky
208,Clyde River,CA,70.4692,-68.5914,-9.54,98,96,6.73,overcast clouds
209,Erenhot,CN,43.6475,111.9767,30.83,58,4,16.84,clear sky
210,Margate,GB,51.3813,1.3862,37.11,80,100,33.38,overcast clouds
211,Tilichiki,RU,60.4667,166.1,20.52,95,100,8.32,light snow
212,Antalaha,MG,-14.9003,50.2788,79.63,72,60,1.7,broken clouds
213,Semnan,IR,35.5729,53.3971,47.08,58,11,1.25,few clouds
214,Porto Recanati,IT,43.4365,13.6613,53.65,65,89,8.39,overcast clouds
215,Tuatapere,NZ,-46.1333,167.6833,58.89,53,0,9.17,clear sky
216,Komsomolskiy,UZ,40.4272,71.7189,34.52,80,33,9.22,scattered clouds
217,Broken Hill,AU,-31.95,141.4333,75.38,37,50,14.5,scattered clouds
218,Hambantota,LK,6.1241,81.1185,79.14,100,75,3.44,broken clouds
219,Rio Grande,BR,-32.035,-52.0986,69.91,90,94,10.22,overcast clouds
220,Ust-Kut,RU,56.7938,105.7672,13.91,72,100,7.65,overcast clouds
221,Ekhabi,RU,53.5102,142.9671,28.33,62,81,15.5,broken clouds
222,Urumqi,CN,43.801,87.6005,25.75,46,0,4.47,clear sky
223,Plavinas,LV,56.6178,25.7255,28.27,95,93,3.36,overcast clouds
224,Sept-Iles,CA,50.2001,-66.3821,36.12,93,75,5.75,broken clouds
225,Lindlar,DE,51.0196,7.3776,34.34,96,99,1.52,overcast clouds
226,Port-Gentil,GA,-0.7193,8.7815,78.48,85,100,5.26,overcast clouds
227,Aksu,CN,41.1231,80.2644,30.6,49,0,4.68,clear sky
228,Kangaatsiaq,GL,68.3065,-53.4641,24.73,82,100,10.45,overcast clouds
229,Guiratinga,BR,-16.3494,-53.7583,72.95,87,47,2.59,scattered clouds
230,Upernavik,GL,72.7868,-56.1549,-1.68,85,31,10.4,scattered clouds
231,Bodden Town,KY,19.2833,-81.25,78.8,69,20,9.22,few clouds
232,Lavrentiya,RU,65.5833,-171.0,-11.04,94,6,7.47,clear sky
233,Bethel,US,41.3712,-73.414,30.31,68,47,4.92,scattered clouds
234,Hami,CN,42.8,93.45,27.12,52,28,5.39,scattered clouds
235,Pangai,TO,-19.8,-174.35,80.78,78,99,18.05,light rain
236,Port Blair,IN,11.6667,92.75,86.04,74,40,8.05,scattered clouds
237,Bambanglipuro,ID,-7.95,110.2833,78.71,83,100,6.04,overcast clouds
238,Les Cayes,HT,18.2,-73.75,73.87,84,50,6.67,scattered clouds
239,Ternate,ID,0.8,127.4,84.02,76,61,5.57,broken clouds
240,Alugan,PH,12.2188,125.4808,82.98,81,100,11.83,overcast clouds
241,Alice Springs,AU,-23.7,133.8833,80.15,19,0,8.05,clear sky
242,Asuncion,PY,-25.3007,-57.6359,74.64,78,0,5.75,clear sky
243,Poum,NC,-20.2333,164.0167,80.76,76,12,10.0,few clouds
244,Georgetown,MY,5.4112,100.3354,85.93,79,20,1.14,few clouds
245,Haines Junction,CA,60.7522,-137.5108,3.49,99,100,3.33,light snow
246,Carballo,ES,43.213,-8.691,40.69,87,78,5.59,broken clouds
247,Qasigiannguit,GL,68.8193,-51.1922,23.25,91,100,4.81,overcast clouds
248,Lima,PE,-12.0432,-77.0282,62.85,88,75,10.36,broken clouds
249,Xining,CN,36.6167,101.7667,34.32,41,98,5.75,overcast clouds
250,Christchurch,NZ,-43.5333,172.6333,55.6,100,90,12.66,overcast clouds
251,Provideniya,RU,64.3833,-173.3,-5.71,81,10,5.57,clear sky
252,Bilma,NE,18.6853,12.9164,70.92,20,73,6.44,broken clouds
253,Jingdezhen,CN,29.2947,117.2079,65.71,55,13,3.47,few clouds
254,Mezen,RU,65.8522,44.24,2.62,95,84,7.2,broken clouds
255,North Bay,CA,46.3168,-79.4663,15.78,85,1,2.3,clear sky
256,Egvekinot,RU,66.3167,-179.1667,-16.22,83,5,4.29,clear sky
257,Sao Felix Do Xingu,BR,-6.6447,-51.995,70.92,96,93,1.81,overcast clouds
258,Limbang,MY,4.75,115.0,84.31,68,99,3.02,light rain
259,Rio Gallegos,AR,-51.6226,-69.2181,53.15,47,100,12.08,overcast clouds
260,Korla,CN,41.7597,86.1469,30.76,87,96,9.44,overcast clouds
261,Willowmore,ZA,-33.2926,23.4895,58.33,68,0,13.58,clear sky
262,Lagoa,PT,39.05,-27.9833,61.21,60,96,7.7,overcast clouds
263,Kapoeta,SS,4.7717,33.5903,77.83,59,78,14.05,broken clouds
264,Keetmanshoop,NA,-26.5833,18.1333,54.99,63,3,4.05,clear sky
265,Lodja,CD,-3.4833,23.4333,67.77,99,99,1.77,light rain
266,Tokat,TR,40.4167,36.5833,44.44,84,100,6.93,overcast clouds
267,New Amsterdam,GY,6.25,-57.5167,74.46,98,93,3.83,overcast clouds
268,Jaguarao,BR,-32.5661,-53.3758,67.48,88,100,8.84,overcast clouds
269,Grindavik,IS,63.8424,-22.4338,36.07,93,0,8.05,clear sky
270,Male,MV,4.1748,73.5089,81.52,76,100,16.31,moderate rain
271,Acajutla,SV,13.5928,-89.8275,77.31,66,14,7.2,few clouds
272,Zaysan,KZ,47.4667,84.8667,14.92,72,10,1.21,clear sky
273,Emirdag,TR,39.0197,31.15,53.74,66,93,17.81,overcast clouds
274,Qaqortoq,GL,60.7167,-46.0333,37.9,100,100,5.86,light rain
275,Obihiro,JP,42.9172,143.2044,43.05,56,6,10.94,clear sky
276,Shuyskoye,RU,59.3736,41.0305,32.56,98,100,6.96,light snow
277,Bambous Virieux,MU,-20.3428,57.7575,78.48,67,0,10.31,clear sky
278,Portland,US,45.5234,-122.6762,63.18,85,90,10.36,overcast clouds
279,Nemuro,JP,43.3236,145.575,39.47,56,88,15.12,overcast clouds
280,Faridpur,BD,23.6,89.8333,77.0,44,24,5.39,few clouds
281,Te Anau,NZ,-45.4167,167.7167,66.38,36,1,2.75,clear sky
282,Ulladulla,AU,-35.35,150.4667,62.42,64,80,10.89,broken clouds
283,San Quintin,MX,30.4833,-115.95,61.18,71,0,1.86,clear sky
284,Camacha,PT,33.0833,-16.3333,60.22,72,40,13.8,scattered clouds
285,Launceston,AU,-41.45,147.1667,69.44,40,0,10.36,clear sky
286,East London,ZA,-33.0153,27.9116,64.36,72,7,6.06,clear sky
287,Kathu,TH,7.9178,98.3332,80.42,73,95,13.2,overcast clouds
288,Mayo,US,38.8876,-76.5119,40.95,58,97,5.68,overcast clouds
289,Tevaitoa,PF,-16.7833,-151.5,81.05,75,50,14.2,light rain
290,Tahlequah,US,35.9154,-94.97,45.91,81,1,0.0,clear sky
291,Marzuq,YE,14.4,46.4667,66.47,37,0,2.8,clear sky
292,Tateyama,JP,34.9833,139.8667,57.22,39,0,14.65,clear sky
293,Palu,ID,-0.8917,119.8707,86.88,72,89,3.98,overcast clouds
294,Patan,NP,27.6667,85.3333,57.58,77,20,0.0,few clouds
295,Coihaique,CL,-45.5752,-72.0662,47.01,92,100,6.55,overcast clouds
296,Dodge City,US,37.7528,-100.0171,42.31,69,1,9.22,clear sky
297,Tucumcari,US,35.1717,-103.725,42.64,45,1,11.5,clear sky
298,Leshukonskoye,RU,64.8989,45.7622,2.07,98,100,4.43,overcast clouds
299,Daru,PG,-9.0763,143.2092,85.95,67,77,6.8,broken clouds
300,Mantua,IT,45.1667,10.7833,43.84,91,99,5.55,overcast clouds
301,Guaymas,MX,27.9333,-110.9,69.13,58,44,7.9,scattered clouds
302,Flin Flon,CA,54.7682,-101.865,13.68,94,9,6.6,clear sky
303,Guerrero Negro,MX,27.9769,-114.0611,66.18,70,0,10.11,clear sky
304,Kavieng,PG,-2.5744,150.7967,84.94,65,83,3.6,broken clouds
305,Itarema,BR,-2.9248,-39.9167,79.77,80,59,10.76,broken clouds
306,Longyearbyen,SJ,78.2186,15.6401,10.24,61,20,25.32,few clouds
307,Atar,MR,20.5169,-13.0499,64.98,34,97,14.43,overcast clouds
308,Tiznit,MA,29.5833,-9.5,49.66,80,0,4.05,clear sky
309,San Angelo,US,31.4638,-100.437,53.82,71,90,5.75,overcast clouds
